market_sentiment,price_change_pct,price_direction,unnamed
2.22,2.34,1,1
4.09,-2.46,0,1
3.76,3.68,1,0
6.88,-3.22,0,0
5.67,3.41,1,1
4.08,-2.33,0,1
1.34,-0.42,0,0
1.15,0.61,0,1
3.4,-4.11,0,0
4.14,-4.9,0,1
4.16,-1.47,0,0
3.97,0.72,1,1
7.62,-3.29,0,0
5.76,0.23,0,1
9.12,-1.25,0,1
8.93,2.35,1,0
7.24,4.43,1,0
5.9,-1.89,0,0
6.85,4.39,1,0
9.71,-2.08,1,1
5.19,0.68,1,0
1.75,-0.7,0,1
3.6,0.57,0,1
7.92,-1.06,1,0
6.35,-0.3,0,1
9.48,1.42,1,0
3.12,1.5,1,0
7.59,3.5,1,0
9.64,-2.78,1,0
7.01,-2.36,0,0
9.24,2.35,1,1
7.44,-0.96,0,0
5.91,-4.82,0,1
4.36,1.94,1,0
2.46,-3.28,0,0
3.65,2.52,1,0
2.75,3.82,1,0
5.91,-1.26,0,1
4.73,3.26,1,1
1.15,1.68,0,0
7.58,-3.81,0,0
4.82,0.82,1,1
7.16,-2.68,0,1
5.33,-2.55,0,0
9.39,2.28,1,0
8.7,0.84,1,1
7.76,2.02,1,0
1.29,-4.29,0,1
1.84,-2.28,0,1
8.74,2.66,1,1
3.42,-0.82,0,0
3.5,-1.58,0,1
3.93,3.51,1,0
9.54,-4.93,0,1
3.01,-3.35,0,1
7.98,-1.04,1,0
6.63,-0.04,1,1
7.39,2.78,1,1
9.91,1.82,1,0
4.87,-4.69,0,1
8.25,3.6,1,0
7.06,-1.73,0,1
4.88,1.89,1,0
1.71,2.64,1,0
3.43,2.53,1,0
4.09,-2.11,0,1
9.95,2.69,1,1
1.68,-3.63,0,0
2.74,4.12,1,1
3.44,-2.75,0,1
2.56,-1.46,0,1
4.45,1.24,1,1
4.76,0.27,0,0
1.0,-3.34,0,1
5.2,-3.16,0,0
8.96,2.67,1,0
9.83,-3.38,0,1
1.54,-0.98,0,0
9.14,-4.85,0,0
8.44,1.0,1,0
7.61,-1.92,1,1
4.55,-0.59,1,0
5.3,-0.72,0,1
6.64,0.54,1,1
2.02,-2.81,0,0
7.92,-4.59,0,1
5.66,-4.0,0,1
8.61,2.81,1,0
8.93,-3.9,0,0
5.4,1.69,1,0
8.64,-2.11,0,1
3.18,2.04,1,0
5.89,2.21,1,0
6.86,-2.41,0,1
4.02,0.25,0,1
3.96,0.57,0,1
2.17,1.37,0,1
8.57,-4.85,0,0
6.83,0.97,1,0
7.39,-1.08,1,1
6.99,-1.26,1,0
6.47,1.14,1,1
8.99,-0.28,1,0
1.74,1.62,0,0
4.64,-3.55,0,0
3.71,-2.95,0,1
9.84,-3.82,0,0
1.19,-1.03,0,1
7.64,4.73,1,1
6.83,-3.32,0,0
7.46,-3.36,0,1
1.09,3.0,1,1
9.23,3.24,1,0
1.18,-2.2,0,1
2.87,-2.05,0,0
6.29,-4.43,0,0
5.06,3.2,1,1
9.04,-3.82,0,0
5.58,4.5,1,0
6.09,3.43,1,1
5.67,-2.59,0,1
5.97,-0.07,1,1
5.44,1.95,1,0
1.99,-4.27,0,0
3.92,1.63,1,0
1.33,-4.31,0,0
3.04,-3.62,0,0
8.83,-2.21,1,0
5.14,-1.02,0,0
8.32,-0.7,0,0
3.13,-4.48,0,0
2.46,-0.77,0,0
9.41,-1.31,1,1
9.89,-0.92,1,1
4.96,2.42,1,0
9.4,-1.98,0,0
8.4,-0.55,1,0
3.97,-3.91,0,0
2.76,0.04,0,0
7.92,2.25,1,1
5.86,-2.29,0,1
6.55,4.69,1,0
7.47,2.09,1,0
4.24,2.12,1,1
6.37,-3.69,0,1
6.59,-1.85,0,1
3.84,0.49,1,0
7.98,-0.42,1,1
2.41,1.07,0,1
6.37,1.65,1,1
7.57,-0.62,0,0
4.3,1.24,1,0
7.07,2.55,1,1
1.47,-2.43,0,0
3.71,0.06,0,1
3.66,1.76,1,1
1.03,-4.28,0,0
2.54,0.54,0,1
5.46,-3.19,0,0
7.06,2.83,1,1
6.63,1.0,1,1
6.71,2.01,1,0
4.68,4.35,1,0
7.56,1.2,1,0
2.31,1.42,0,1
6.98,4.19,1,0
6.5,-3.0,0,0
4.3,-3.6,0,0
5.26,-0.34,1,0
6.52,-0.48,0,1
8.39,-3.22,0,1
9.83,-2.8,0,0
6.7,1.87,1,1
8.46,0.68,1,1
9.05,4.83,1,0
8.38,-0.44,1,0
9.95,4.26,1,1
7.02,3.98,1,1
8.97,-2.03,1,0
6.31,-1.71,0,1
3.51,4.44,1,1
4.06,2.84,1,0
1.98,-3.43,0,0
7.96,3.53,1,0
2.99,1.44,0,0
6.98,2.29,1,1
9.93,3.26,1,1
3.65,-2.81,0,1
6.79,-2.62,1,0
8.77,-1.06,0,0
6.97,4.22,1,1
6.86,2.8,1,1
5.89,-4.37,0,0
7.38,2.91,1,0
5.23,-1.18,0,1
1.42,-0.38,0,1
6.71,-0.03,1,0
6.03,-1.68,0,1
9.24,-1.72,0,1
6.5,0.47,0,0
3.75,2.42,1,0
6.63,-2.8,0,1
5.62,-2.59,0,0
4.06,3.22,1,0
8.0,3.18,1,0
1.92,4.53,1,1
2.27,1.93,0,1
8.06,4.4,1,0
1.39,-1.06,0,0
1.18,1.04,0,1
3.53,-3.05,0,1
1.74,1.85,0,0
7.43,-4.98,0,1
7.73,4.09,1,1
6.92,-2.87,0,1
9.83,-4.7,0,0
3.91,-1.83,0,1
5.79,3.45,1,0
2.38,-1.9,0,1
4.53,-3.38,0,0
4.88,-0.64,0,1
3.36,3.2,1,0
9.58,-2.09,1,1
4.51,0.14,0,1
9.51,-4.47,0,1
1.76,2.53,1,0
9.96,-4.94,0,1
7.93,-1.55,0,0
8.45,-1.32,1,0
3.03,-0.75,0,0
7.7,-1.11,0,0
8.88,-4.68,0,1
4.41,-4.88,0,0
5.33,-3.09,0,1
1.15,4.98,1,0
4.41,1.29,1,1
9.81,1.8,1,1
2.86,-4.71,0,0
9.53,-4.89,0,1
7.55,1.26,1,1
8.61,4.14,1,0
1.27,2.76,0,0
9.07,4.86,1,0
9.63,-2.54,0,0
1.85,-4.57,0,1
8.11,-1.82,1,1
7.1,-5.0,0,1
6.36,0.47,1,1
3.45,2.58,1,0
5.59,-1.99,0,1
3.07,-3.95,0,0
9.55,-0.76,1,1
1.33,-4.82,0,0
7.51,0.79,1,0
6.16,0.59,1,1
6.09,1.11,1,1
8.08,-3.72,0,0
8.25,-0.94,1,0
9.52,3.4,1,1
6.87,-4.25,0,1
7.0,4.8,1,1
8.68,-2.83,0,1
6.82,3.85,1,1
7.4,2.99,1,0
9.3,-3.3,0,1
5.92,0.54,1,0
3.25,4.48,1,0
8.09,-4.13,0,1
9.29,-2.3,0,1
2.34,2.19,1,1
3.16,-4.13,0,1
6.01,1.41,1,0
6.16,0.36,1,1
3.43,-0.37,0,0
6.6,-4.56,0,0
9.26,4.13,1,1
4.32,-0.55,0,0
8.91,-3.54,0,1
7.79,0.85,1,0
7.39,3.86,1,1
5.68,3.59,1,1
5.42,-0.83,0,1
2.15,2.21,0,0
5.08,-1.68,0,1
1.83,-2.26,0,0
2.87,2.62,1,1
4.67,-3.8,0,1
9.26,3.36,1,1
1.16,1.14,0,1
1.88,-0.47,0,0
8.81,-0.06,1,0
2.01,3.47,0,1
2.34,-1.04,0,0
9.56,-3.84,0,1
1.25,2.42,0,1
4.49,2.93,1,1
6.03,-4.62,0,1
6.34,-1.62,0,0
3.46,0.93,1,0
8.8,1.38,1,1
5.17,1.09,0,0
8.54,2.36,1,1
7.76,4.4,1,0
1.76,-3.69,0,0
